ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
potârniche	-	cotornice	codorniz	codorniz	co:turni:cem
-	coxal	cosciale	coxal	-	coxa:lem
-	-	-	cojo	coxo	coxum
-	-	calabrone	cambrón	cambrão	cra:bro:nem
-	-	crema	crema	-	cra:mum
crapulare	-	crapula	crápula	crápula	cra:pulam
-	-	-	-	crástino	cra:stinum
-	-	-	-	cratera	cra:te:ram
-	-	graticcio	-	-	cra:ticium
-	grille	graticola	cratícula	cratícula	cra:ticulam
gratie	-	grata	grada	grade	cra:tem
-	créatrice	creatrice	-	-	crea:tri:cem
creatură	créature	creatura	criatura	criatura	crea:tu:ram
-	-	-	-	crebro	cre:brum
credință	croyance	credenza	creencia	crença	cre:dentiam
credibil	crédible	credibile	creíble	credível	cre:dibilem
credibilitate	crédibilité	credibilità	credibilidad	credibilidade	cre:dibilita:tem
creditor	créditeur	creditore	creedor	credor	cre:dito:rem
-	-	creditrice	-	-	cre:ditri:cem
credul	crédule	credulo	crédulo	crédulo	cre:dulum
-	crémer	cremare	cremar	-	crema:re
crăpătură	crevure	crepatura	-	quebradura	crepa:tu:ram
-	-	-	crépito	-	crepitum
cretă	-	creta	creta	creta	cre:tam
ciura	cribler	cribrare	cribar	crivar	cri:bra:re
ciur	crible	crivo	cribo	crivo	cri:brum
crimă	crime	crimine	crimen	crime	cri:men
criminal	criminel	criminale	criminal	criminal	cri:mina:lem
-	-	-	criminación	criminação	cri:mina:tio:nem
-	-	criminoso	-	criminoso	cri:mino:sum
-	crin	crine	crin	crina	cri:nem
crispa	crêper	crespare	crespar	-	crispa:re
-	crêpe	crespo	crespo	crespo	crispum
-	-	crestato	-	-	crista:tum
-	-	criterio	criterio	-	criterion
-	-	-	crítico	crítico	criticum
-	crocus	-	croco	-	crocum
-	-	crotalo	crótalo	-	crotalum
-	crucifère	crocifero	crucífero	crucífero	cruciferum
-	cruel	crudele	cruel	cruel	cru:de:lem
-	cruauté	crudeltà	crueldad	crueldade	cru:de:lita:tem
-	-	crudità	-	-	cru:dita:tem
crunta	-	cruentare	cruentar	cruentar	cruenta:re
crunt	-	cruento	cruento	cruento	cruentum
-	cruor	-	crúor	cruor	cruo:rem
crustă	croûte	-	costra	crosta	crustam
-	croûter	-	-	crestar	crusta:re
crustos	croûteux	crostoso	costroso	crostoso	crusto:sum
-	-	crostolo	-	-	cru:stulum
-	-	-	cubículo	-	cubiculum
-	-	-	cubil	covil	cubi:le
-	couver	covare	-	-	cuba:re
-	cuculle	cocolla	cogulla	-	cucullam
cucui	coule	cogolo	cogollo	cogulo	cucullum
-	coucou	cuculo	-	-	cucu:lum
cucumăr	concombre	cocomero	cogombro	cogombro	cucumerem
curcubetă	courge	cucurbita	cucúrbita	cucúrbita	cucurbitam
-	-	cui	cuyo	cujo	cu:ium
-	couette	coltrice	colcha	colcha	culcitam
-	-	coltrice	-	-	culcitram
-	cousin	-	-	-	culicem
-	culinaire	-	-	-	culi:na:rium
-	-	culmo	colmo	colmo	culmum
culpă	coulpe	colpa	culpa	culpa	culpam
-	-	-	culpar	culpar	culpa:re
-	couteau	coltello	cuchillo	cutelo	cultellum
-	coutre	coltro	-	cultro	cultrum
-	-	cultore	cultor	cultor	culto:rem
cult	culte	culto	culto	culto	cultum
-	combe	comba	-	comba	cumbam
-	-	cumino	comino	cominho	cumi:num
-	combler	cumulare	cumular	cumular	cumula:re
-	-	culla	cuna	-	cu:nam
încuia	cogner	coniare	cuñar	cunhar	cunea:re
-	con	conno	coño	cona	cunnum
-	cupidité	cupidità	-	-	cupidita:tem
-	cupide	-	-	-	cupidum
-	cyprès	cipresso	ciprés	-	cupressum
cupru	cuivre	cuprico	cobre	cobre	cu:prum
cură	cure	cura	cura	cura	cu:ram
curătură	-	curatura	-	-	cu:ra:tu:ram
cura	curer	curare	curar	curar	cu:ra:re
-	-	curricolo	currículo	currículo	curriculum
curs	cours	corso	corso	corso	cursum
scurta	écourter	scortare	cortar	cortar	curta:re
-	-	-	-	curul	curu:lem
-	-	curvare	curvar	curvar	curva:re
-	-	-	corvo	-	curvum
-	-	-	coscojo	-	cuscolium
-	cygne	cigno	cisne	cisne	cygnum
-	-	cimasa	-	-	cȳmatium
-	-	-	-	comba	cymbam
-	cymbale	cimbalo	címbalo	-	cymbalum
-	-	cipero	-	-	cype:rum
-	cytise	-	cítiso	-	cytisum
-	-	-	-	demo	daemonem
-	-	-	demoníaco	-	daemoniacum
-	-	demonico	-	demônico	daemonicum
-	démon	demonio	demonio	demónio	daemonium
-	damné	dannato	-	-	damna:tum
damna	damner	dannare	dañar	danar	damna:re
dăunos	-	dannoso	dañoso	danoso	damno:sum
-	dé	dato	dado	dado	datum
dată	date	data	dada	dada	data
-	déambulation	deambulazione	deambulación	deambulação	deambula:tio:nem
-	dorer	dorare	dorar	dourar	deaura:re
-	-	-	-	debacar	de:baccha:ri:
-	-	debellare	debelar	-	de:bella:re
-	devoir	dovere	deber	dever	de:be:re
-	-	-	debilidad	-	de:bilita:tem
-	débiliter	-	debilitar	-	de:bilita:re
-	déblatérer	-	-	-	deblatera:re
-	-	decalvazione	decalvación	decalvação	de:calva:tio:nem
-	décéder	decedere	-	-	de:ce:dere
-	-	decempeda	-	-	decempedam
-	déceptif	decettivo	-	-	decepti:vum
-	-	decettorio	deceptorio	-	decepto:rium
-	décerner	decernere	-	-	de:cernere
-	-	dicevole	-	-	decibilem
zecimal	décimal	decimale	decimal	decimal	decimalem
-	décimation	decimazione	-	-	decima:tio:nem
decima	décimer	decimare	diezmar	dizimar	decima:re
-	dîme	decimo	diezmo	dízimo	decimum
-	décevoir	-	decepcionar	decepcionar	de:cipere
-	déclamer	declamare	declamar	declamar	de:cla:ma:re
declina	décliner	declinare	declinar	declinar	de:cli:na:re
-	déclive	-	-	-	de:cli:vem
-	décoction	decozione	decocción	decocção	decoctio:nem
-	-	-	degollar	degolar	de:colla:re
-	décorer	decorare	decorar	decorar	decora:re
-	décortiquer	-	-	-	de:cortica:re
-	-	decremento	decremento	-	de:cre:mentum
-	décrétale	decretale	decretal	decretal	de:cre:ta:lem
decret	décret	decreto	decreto	decreto	de:cre:tum
-	-	decorrere	decorrerse	decorrer	de:currere
-	-	-	-	decusse	decussem
-	-	-	-	decussar	decussa:re
deda	-	-	-	-	de:dere
deducție	déduction	deduzione	deducción	dedução	de:ductio:nem
-	défection	defezione	defección	defecção	de:fectio:nem
-	défense	difesa	defensa	defesa	de:fensam
-	-	difensione	defensión	defensão	de:fe:nsio:nem
-	défenseur	difensore	defensor	defensor	de:fe:nso:rem
-	déférer	deferire	deferir	deferir	de:ferre
-	défaire	-	-	-	de:ficere
-	-	defluire	-	defluir	de:fluere
deformație	déformation	deformazione	deformación	deformação	de:fo:rma:tio:nem
-	-	deforme	deforme	deforme	de:fo:rmem
-	-	deformità	deformidad	deformidade	de:fo:rmita:tem
-	-	defraudazione	defraudación	defraudação	de:frauda:tio:nem
-	dégénérer	-	degenerar	degenerar	de:genera:re
-	dégradation	degradazione	degradación	degradação	de:grada:tio:nem
degusta	déguster	degustare	degustar	degustar	de:gusta:re
-	-	-	denostar	doestar	dehonesta:re
-	déjection	-	-	-	de:iectio:nem
-	déifier	deificare	deificar	deificar	deifica:re
zeitate	déité	deità	-	deidade	deita:tem
-	délation	delazione	delación	delação	de:la:tio:nem
-	délateur	delatore	delator	delator	de:la:to:rem
-	-	delebile	-	-	de:le:bilem
-	délectation	dilettazione	delectación	deleitação	de:lecta:tio:nem
-	délétion	delezione	-	-	de:le:tio:nem
-	délibération	deliberazione	deliberación	deliberação	de:li:bera:tio:nem
-	délibérer	deliberare	deliberar	deliberar	de:li:bera:re
-	-	delizia	delicia	delícia	de:licia:s
-	-	delittore	-	-	de:licto:rem
-	délit	delitto	delito	delito	de:lictum
-	délinquance	delinquenza	delincuencia	delinquência	de:linquentiam
-	délinquer	delinquere	delinquir	delinquir	de:linquere
-	-	dileguare	-	deliquar	de:liqua:re
-	-	delubro	-	delubro	de:lu:brum
dimânda	demander	domandare	demandar	demandar	de:manda:re
-	-	dimenticare	dementar	-	de:menta:re
-	démettre	-	-	demitir	de:mittere
-	-	-	-	demo	de:mere
-	démonstration	dimostrazione	demostración	demonstração	de:mo:nstra:tio:nem
demonstra	démontrer	dimostrare	demostrar	demonstrar	de:mo:nstra:re
-	demeurer	dimorare	demorar	demorar	de:mora:ri:
-	-	-	-	demover	de:move:re
-	démuter	-	demudar	demudar	de:mu:ta:re
denega	dénier	-	denegar	denegar	de:nega:re
denominație	dénomination	denominazione	denominación	denominação	de:no:mina:tio:nem
-	dénominateur	denominatore	denominador	denominador	de:no:mina:to:rem
-	dénommer	denominare	denominar	denominar	de:no:mina:re
îndesa	-	densare	densar	-	de:nsa:re
-	dental	dentale	dental	dental	denta:lem
-	-	dentato	dentado	dentado	denta:tum
-	-	dentifricio	dentífrico	dentífrico	dentifricium
-	dénudation	denudazione	denudación	denudação	de:nu:da:tio:nem
-	-	denudare	denudar	denudar	de:nu:da:re
-	dénonciation	denunciazione	denunciación	denunciação	de:nuntia:tio:nem
-	départir	-	departir	-	de:parti:re
depinde	dépendre	dipendere	depender	depender	de:pende:re
-	déperdition	deperdizione	-	-	de:perditio:nem
-	dépérir	deperire	desperecer	deperecer	de:peri:re
-	déperition	deperizione	-	-	de:peritio:nem
-	déplorer	deplorare	deplorar	-	de:plo:ra:re
-	déporter	deportare	deportar	deportar	de:porta:re
-	déprédation	depredazione	-	-	de:praeda:tio:nem
-	-	depredare	depredar	depredar	de:praeda:ri:
-	-	deprecare	deprecar	-	de:preca:ri:
deprinde	-	disprendere	deprehender	depreender	de:prehendere
-	déprimer	deprimere	deprimir	deprimir	de:primere
-	dépurer	depurare	depurar	depurar	de:pu:ra:re
-	-	-	derelinquir	-	de:relinquere
-	dérision	derisione	-	-	de:ri:sio:nem
-	dérisoire	derisorio	-	-	de:ri:so:rium
deștinge	descendre	discendere	descender	-	de:scendere
-	-	disceso	-	-	de:sce:nsum
-	décrire	descrivere	describir	descrever	de:scri:bere
descripție	description	descrizione	descripción	descrição	de:scri:ptio:nem
-	-	-	desecar	-	de:seca:re
-	désertion	diserzione	deserción	deserção	de:sertio:nem
deșert	désert	deserto	desierto	deserto	de:sertum
-	desservir	-	-	-	de:servi:re
-	dessiccation	disseccazione	desecación	dessecação	de:sicca:tio:nem
-	dessécher	disseccare	desecar	dessecar	de:sicca:re
deșidera	désirer	desiderare	desear	desejar	de:si:dera:re
-	-	desidia	desidia	desídia	de:sidiam
-	-	-	designación	-	de:signa:tio:nem
desemna	-	-	-	desenhar	de:signa:re
-	désinence	desinenza	-	-	de:sinentiam
-	désister	-	desistir	desistir	de:sistere
-	désolation	desolazione	desolación	desolação	de:so:la:tio:nem
-	désoler	desolare	desolar	-	de:so:la:re
-	-	dispettare	despechar	despeitar	de:specta:re
-	-	disperazione	desesperación	desesperação	de:spe:ra:tio:nem
-	désespéré	disperato	desperado	desperado	de:spe:ra:tum
despera	-	disperare	desperar	-	de:spe:ra:re
-	-	-	desponder	-	de:sponde:re
-	-	disposare	desposar	desposar	de:spo:nsa:re
-	distiller	distillare	destilar	destilar	de:stilla:re
-	destination	-	destinación	-	de:stina:tio:nem
destina	destiner	destinare	destinar	destinar	de:stina:re
-	destituer	destituire	destituir	destituir	de:stituere
-	-	distruzione	destrucción	destruição	de:structio:nem
distruge	détruire	distruggere	destruir	destruir	de:struere
-	désultoire	desultorio	-	desultório	de:sulto:rium
-	-	desumere	-	desumir	de:su:mere
detecta	détecterdutch	-	detectar	detectar	de:tegere
detențiune	détention	detenzione	detención	detenção	de:tentio:nem
-	déterger	detergere	deterger	-	de:terge:re
-	détérioration	deteriorazione	deterioración	deterioração	de:terio:ra:tio:nem
-	-	determinazione	determinación	-	de:termina:tio:nem
-	déterminer	determinare	determinar	determinar	de:termina:re
-	détestation	detestazione	detestación	detestação	de:testa:tio:nem
-	détester	detestare	detestar	detestar	de:testa:ri:
deține	détenir	detenere	detener	deter	de:tine:re
-	-	detrarre	detraer	detrair	de:trahere
zeu	deux	dio	dios	deus	deum
deveni	devenir	divenire	devenir	devir	de:veni:re
-	déviation	deviazione	-	-	de:via:tio:nem
-	dévier	deviare	desviar	-	de:via:re
-	-	devolvere	devolver	devolver	de:volvere
-	dévoration	divorazione	devoración	devoração	de:vora:tio:nem
-	-	-	-	devotação	de:vo:ta:tio:nem
-	dévouer	-	devover	-	de:vove:re
dextru	dextre	destro	diestro	destro	dextrum
dexteritate	dextérité	desterità	desteridad	desteridade	dexterita:tem
-	diabolique	diabolico	diabólico	-	diabolicum
-	-	diavolo	diablo	diabo	diabolum
dialect	dialecte	dialetto	dialecto	dialeto	dialecton
-	-	-	diario	-	dia:rium
-	-	dicace	dicaz	dicaz	dica:cem
-	dition	-	-	-	dicio:nem
-	dictamen	-	dictamen	-	dicta:men
-	-	dittamo	-	-	dictamnum
dicție	diction	dizione	dicción	dicção	dictio:nem
-	dit	detto	dicho	dito	dictum
-	diffamatoire	diffamatorio	difamatorio	difamatório	diffa:ma:to:rium
defăima	diffamer	diffamare	difamar	difamar	diffa:ma:re
-	différer	differire	diferir	diferir	differre
-	défiance	-	-	-	diffi:dentiam
-	diffluer	-	difluir	difluir	diffluere
-	diffondre	diffondere	difundir	difundir	diffundere
-	digestif	digestivo	digestivo	digestivo	di:gesti:vum
digital	digital	digitale	digital	digital	digita:lem
-	-	digitare	digitar	digitar	digita:re
-	-	degnazione	dignación	dignação	digna:tio:nem
-	daigner	degnare	dignar	dignar	digna:re
-	-	dilacerar	dilacerar	dilacerar	di:lacera:re
-	-	dilezione	-	-	di:le:ctio:nem
-	diligence	-	diligencia	-	di:ligentiam
-	-	diligere	-	-	di:ligere
-	diluer	diluire	diluir	diluir	di:luere
-	-	-	dimanar	dimanar	di:ma:na:re
-	dimension	dimensione	dimensión	dimensão	di:mensio:nem
-	dimidié	-	-	-	di:midium
-	diminuer	diminuire	disminuir	diminuir	di:minuere
-	-	dimettere	dimitir	-	di:mittere
-	-	dionisiaco	dionisíaco	-	dionȳsiacum
-	diphtongue	dittongo	diptongo	ditongo	diphthongum
-	droiture	-	derechura	direitura	di:rectu:ram
-	dirimer	dirimere	dirimir	dirimir	dirimere
-	dérompre	dirompere	-	-	di:rumpere
-	deruer	-	derruir	derruir	di:ruere
-	dix	-	-	-	di:tem
descinge	-	discingere	desceñir	-	discingere
-	-	discrepanza	discrepancia	discrepância	discrepantiam
-	-	discrepare	discrepar	-	discrepa:re
discreție	discrétion	discrezione	discreción	discreção	discre:tio:nem
-	discrimination	discriminazione	discriminación	discriminação	discri:mina:tio:nem
-	-	discorrere	discurrir	discorrer	discurrere
discursiv	discursif	discorsivo	discursivo	discursivo	discursi:vum
-	-	-	discurso	discurso	discursum
-	disert	diserto	diserto	diserto	disertum
-	-	-	desechar	-	disiecta:re
-	-	-	-	díspar	disparem
dispărea	disparaître	disparire	-	-	dispare:re
-	-	-	disparar	disparar	dispara:re
despărți	-	dispartire	despartir	dispartir	disparti:re
-	dépenser	dispensare	dispensar	-	dispe:nsa:re
-	-	disperdere	-	-	disperdere
-	despérir	disperire	desperecer	-	disperi:re
-	disperser	dispergere	despergir	-	dispergere
-	déployer	dispiegare	desplegar	despregar	displica:re
dispune	disposer	disporre	disponer	dispor	dispo:nere
-	disposition	disposizione	disposición	-	dispositio:nem
-	disquisition	disquisizione	disquisición	-	disqui:si:tio:nem
diseca	disséquer	dissecare	disecar	dissecar	disseca:re
-	disséminer	disseminare	diseminar	disseminar	disse:mina:re
-	-	dissenso	disenso	-	disse:nsum
-	-	-	-	dissentir	dissenti:re
-	-	-	disertación	-	disserta:tio:nem
-	-	dissimile	disímil	dissímil	dissimilem
-	dissimulation	dissimulazione	-	-	dissimula:tio:nem
-	dissoudre	-	-	-	dissolvere
-	dissoner	dissonare	disonar	dissonar	dissona:re
-	dissuader	dissuadere	disuadir	dissuadir	dissua:de:re
-	distendre	distendere	distender	distender	distendere
-	distillation	distillazione	-	-	distillatio:nem
distinct	distinct	distinto	distinto	distinto	distinctum
destoarce	distordre	distorcere	destorcer	distorcer	distorque:re
distorsiune	distorsion	distorsione	distorsión	distorção	distortio:nem
distracție	distraction	distrazione	distracción	distração	distractio:nem
distra	distraire	distrarre	distraer	distrair	distrahere
district	district	distretto	-	distrito	districtum
-	disturber	disturbare	disturbar	disturbar	disturba:re
-	journal	giornale	-	diurnal	diurna:lem
-	-	diverbio	-	-	di:verbium
-	divertir	divertire	divertir	divertir	di:vertere
-	-	-	-	devassar	di:ve:xa:re
-	divination	divinazione	-	-	di:vi:na:tio:nem
-	deviner	divinare	divinar	adivinhar	di:vi:na:re
-	divulgation	divulgazione	divulgación	divulgação	di:vulga:tio:nem
-	divulguer	divulgare	divulgar	-	di:vulga:re
doctor	docteur	dottore	doctor	doutor	docto:rem
-	-	doglio	-	-	do:lium
dura	doler	-	dolar	-	dola:re
dururos	douloureux	doloroso	doloroso	doloroso	dolo:ro:sum
-	-	dolosità	-	-	dolo:sita:tem
-	-	doloso	doloso	doloso	dolo:sum
dor	deuil	duolo	duelo	dó	dolum
domestic	domestique	domestico	doméstico	doméstico	domesticum
domiciliu	domicile	domicilio	domicilio	domicílio	domicilium
-	-	domenicale	dominical	-	dominica:lem
-	domaine	dominio	dominio	domínio	dominium
-	-	domare	domar	domar	doma:re
-	don	dono	don	dom	do:num
dormita	-	-	dormitar	dormitar	dormi:ta:re
dormitor	dortoir	dormitorio	dormitorio	dormitório	dormi:to:rium
-	dotation	dotazione	dotación	-	do:ta:tio:nem
dota	douer	dotare	dotar	dotar	do:ta:re
-	-	-	draconcio	-	dracontium
drapel	drapeau	drappello	trapo	trapo	drappum
-	-	dubbietà	-	-	dubieta:tem
dubios	-	-	-	-	dubio:sum
-	dubitation	dubitazione	-	-	dubita:tio:nem
dubita	douter	dubitare	dudar	duvidar	dubita:re
dubiu	-	dubbio	duda	dúbio	dubium
ducat	duché	ducato	ducado	ducado	duca:tum
-	-	duecento	doscientos	duzentos	ducento:s
-duce	-duire	-ducere	-	-duzir	du:cere
duș	douche	doccia	ducha	-	ductio:nem
duct	-duit	dotto	ducto	ducto	ductum
-	-	dulcamara	dulcamara	-	du:lcama:ram
-	-	-	-	dulcífero	dulciferum
-	dulcifier	dolcificare	dulcificar	dulcificar	dulcifica:re
-	-	-	-	dulcíloquo	dulciloquum
-	-	-	dulcísono	dulcíssono	dulcisonum
-	-	dolcitudine	dulcedumbre	-	dulcitu:dinem
dulcoare	douceur	-	-	-	dulco:rem
-	-	duplice	-	-	duplicem
dublu	double	doppio	doblo	dobro	duplum
-	duracine	duracina	-	durázio	du:racinum
-	duramen	-	-	-	du:ra:men
-	-	durazione	duración	duração	du:ra:tio:nem
dura	durer	durare	durar	durar	du:ra:re
dur	dur	duro	duro	duro	du:rum
-	ivoire	avorio	eboreo	-	eboreum
-	ivraie	ubriaco	embriago	embriago	e:bria:cum
-	ébriété	-	-	ebriedade	e:brieta:tem
-	ivre	ebbro	ebrio	ébrio	e:brium
-	hièble	ebbio	-	ébulo	ebulum
ivoriu	ivoire	avorio	ébore	-	ebur
-	éburnéen	eburneo	ebúrneo	-	eburneum
-	église	chiesa	iglesia	igreja	eccle:siam
eclipsă	éclipse	eclissi	eclipse	eclipse	ecli:psem
-	édiction	-	-	-	e:dictio:nem
edict	édit	editto	edicto	edito	e:dictum
-	effectif	-	efectivo	efetivo	effecti:vum
-	efféminer	effeminare	-	-	effe:mina:re
-	-	-	effervecer	effervecer	efferve:scere
-	efficacité	-	eficacidad	-	effica:cita:tem
-	efficace	efficace	eficaz	-	effica:cem
-	effectuer	-	efectuar	-	efficere
-	-	effingere	-	-	effingere
-	effluer	effluire	efluir	efluir	effluere
-	-	-	-	esfregar	effrica:re
-	-	effondere	efundir	efundir	effundere
-	-	-	egresar	-	e:gredi:
egregiu	-	egregio	-	egrégio	e:gregium
-	élation	-	elación	elação	e:la:tio:nem
-	élection	elezione	elección	-	e:le:ctio:nem
-	aumône	elemosina	limosna	esmola	elee:mosynam
-	-	-	elegante	elegante	e:legantem
-	-	elenco	elenco	elenco	elenchum
-	éléphantin	elefantino	-	-	elephantinum
eleva	élever	elevare	elevar	elevar	e:leva:re
-	élider	elidere	elidir	-	e:li:dere
-	-	eliminazione	eliminación	eliminação	e:limina:tio:nem
-	éliminer	eliminare	eliminar	eliminar	e:li:mina:re
-	-	lesso	-	-	e:lixum
-	ellipse	ellissi	-	-	elli:psin
-	lumignon	lucignolo	-	-	ellychnium
-	élocution	-	-	-	e:locutio:nem
elongație	élongation	elongazione	elongación	elongação	e:longa:tio:nem
alunga	élonger	allungare	alongar	alongar	e:longa:re
-	-	eloquio	-	-	e:loquium
-	élucubrer	elucubrare	elucubrar	elucubrar	e:lu:cubra:re
-	éluder	eludere	eludir	eludir	e:lu:dere
-	éluer	-	eluir	-	e:luere
-	emacité	emacità	emacia	-	ema:cita:tem
-	émancipation	emancipazione	emancipación	emancipação	e:mancipa:tio:nem
-	-	-	émbolo	-	embolum
-	émender	emendare	emendar	emendar	e:menda:re
-	émerger	emergere	emerger	emergir	e:mergere
-	émission	-	-	-	e:missio:nem
-	émettre	emettere	emitir	-	e:mittere
-	émolument	emolumento	emolumento	emolumento	e:molumentum
-	émouvoir	smuovere	-	-	e:move:re
-	-	-	emulger	-	e:mulge:re
-	émonder	-	-	-	e:munda:re
-	-	emungere	emunger	-	e:mungere
-	-	enarrazione	enarración	enarração	e:na:rra:tio:nem
-	-	encomio	encomio	encómio	enco:mium
-	-	-	anegar	anegar	e:neca:re
enerva	énerver	-	enervar	enervar	e:nerva:re
-	-	ente	ente	ente	ens
-	-	-	entusiasta	-	enthu:siaste:n
-	énumérer	-	enumerar	-	e:numera:re
-	éphèbe	-	-	-	ephe:bum
-	-	epiglottide	-	-	epiglo:ttidem
-	épiscopat	vescovado	obispado	bispado	episcopa:tum
epistolă	-	-	-	epístola	epistolam
-	-	epopto	-	-	epoptum
iapă	-	-	yegua	égua	equam
-	-	eremitico	-	-	ere:mi:ticum
-	-	eremo	yermo	ermo	ere:mum
-	-	ergastolo	ergástulo	ergástulo	ergastulum
-	ériger	ergere	erguir	erguer	e:rigere
-	éroder	-	-	erodir	e:ro:dere
-	-	erogazione	-	-	e:roga:tio:nem
-	-	erogare	erogar	-	e:roga:re
-	-	errabondo	-	-	erra:bundum
-	errer	errare	yerro	errar	erra:re
eroare	erreur	-	error	-	erro:rem
-	-	erudire	-	-	e:rudi:re
-	érompre	erompere	-	-	e:rumpere
-	-	esculento	esculento	-	e:sculentum
-	éthologie	etologia	etología	-	e:thologiam
-	eucharistie	-	eucaristía	eucaristia	eucharistiam
-	-	evonimo	-	-	euo:nymon
-	-	svagare	-	-	e:vaga:ri:
-	évanouir	svanire	desvanecer	desvanecer	e:va:ne:scere
-	-	-	evangélico	-	e:vangelicum
-	-	-	evangelio	-	e:vangelium
-	-	-	-	eversor	e:verso:rem
-	-	-	-	everter	e:vertere
-	éveiller	svegliare	desvelar	-	e:vigila:re
evinge	évincer	evincere	-	evencer	e:vincere
-	-	evirare	-	-	e:vira:re
-	évocation	evocazione	evocación	evocação	e:voca:tio:nem
evoluție	évolution	evoluzione	evolución	evolução	e:volu:tio:nem
evolua	évoluer	evolvere	evolucionar	evolver	e:volvere
-	évulguer	-	-	-	e:vulga:re
-	exacerbation	esacerbazione	exacerbación	exacerbação	exacerba:tio:nem
-	exaction	-	exacción	-	exa:ctio:nem
-	exagération	esagerazione	exageración	exageração	exaggera:tio:nem
-	-	esagitare	-	-	exagita:re
-	essai	saggio	ensayo	ensaio	exagium
-	-	scialbare	-	-	exalba:re
-	exalter	esaltare	exaltar	-	exalta:re
examina	examiner	esaminare	examinar	examinar	exa:mina:re
-	-	-	exánime	-	exanimem
-	exaspération	esasperazione	exasperación	exasperação	exaspera:tio:nem
-	-	esautorare	-	-	exaucto:ra:re
-	exaucer	esaudire	-	-	exaudi:re
zbea	-	-	-	-	exbibere
-	excellence	eccellenza	excelencia	excelência	excellentiam
-	exceller	eccellere	-	exceler	excellere
-	-	eccelso	excelso	-	excelsum
-	excréter	-	excretar	excretar	excernere
-	excessif	eccessivo	excesivo	excessivo	excessivum
-	exciser	-	-	-	excidere
-	-	eccepire	exceptuar	-	excipere
-	-	-	excisión	-	exci:sio:nem
-	exciter	-	excitar	-	excita:re
-	exclure	escludere	-	excluir	exclu:dere
-	-	-	exclusivo	-	exclu:si:vum
-	excogitation	escogitazione	-	-	exco:gita:tio:nem
-	excogiter	escogitare	-	-	exco:gita:re
scoace	-	-	escocer	-	excoquere
-	excorier	escoriare	escoriar	escoriar	excoria:re
excrement	excrément	escremento	excremento	-	excre:mentum
scure	-	scorrere	escurrir	escorrer	excurrere
excursie	excursion	escursione	excursión	excursão	excursio:nem
scurs	-	scorso	-	-	excursum
-	-	scusazione	excusación	-	excu:sa:tio:nem
scoate	-	escutere	escodar	excutir	excutere
-	exemplaire	-	ejemplar	exemplar	exemplar
exemplar	exemplaire	esemplare	-	exemplar	exempla:rem
ieși	issu	uscire	exir	-	exi:re
-	exercer	esercire	ejercer	exercer	exerce:re
-	-	esercito	ejército	exército	exercitum
-	exfolier	-	exfoliar	-	exfo:lia:re
-	exhaler	esalare	exhalar	-	exha:la:re
-	-	esaurire	exhaurir	exaurir	exhauri:re
-	exhéréder	-	-	-	exhe:re:da:re
-	exhiber	esibire	exhibir	exibir	exhibe:re
-	exhortation	esortazione	exhortación	exortação	exhorta:tio:nem
-	exhorter	esortare	exhortar	exortar	exhorta:ri:
-	exiger	esigere	exigir	exigir	exigere
-	exigu	esiguo	exiguo	exíguo	exiguum
-	-	-	-	exile	exi:lem
-	existence	-	existencia	-	existentiam
-	exister	esistere	existir	-	existere
-	-	esiziale	-	-	exitia:lem
-	-	esizio	-	-	exitium
-	-	esito	éxito	êxito	exitum
-	exoration	-	-	-	exo:ra:tio:nem
-	-	esordire	-	-	exordi:ri:
-	épandre	spandere	expandir	expandir	expandere
-	expédier	spedire	expedir	expedir	expedi:re
-	-	spendere	expender	expender	expendere
-	-	-	explanación	explanação	expla:na:tio:nem
-	-	-	explanar	explanar	expla:na:re
explicație	explication	esplicazione	explicación	explicação	explica:tio:nem
-	-	-	explorador	explorador	explo:ra:to:rem
-	-	-	expoliar	-	expoli:re
expune	exposer	esporre	exponer	expor	expo:nere
-	exportation	esportazione	exportación	exportação	exporta:tio:nem
exprima	exprimer	esprimere	expremir	exprimir	exprimere
-	-	-	-	exprobrar	expro:bra:re
-	-	espugnazione	-	-	expugna:tio:nem
-	-	espugnare	expugnar	expugnar	expugna:re
-	expulser	-	expulsar	-	expulsa:re
-	-	espungere	expungir	expungir	expungere
-	expurgation	espurgazione	-	expurgação	expurga:tio:nem
-	expurger	spurgare	expurgar	-	expurga:re
-	exécration	esecrazione	-	-	exse:cra:tio:nem
-	exécrer	esecrare	execrar	-	exsecra:ri:
execuție	-	-	-	-	exsecu:tio:nem
-	-	esequie	-	exéquias	exsequiam
-	-	esequie	-	-	exsequia:s
-	exécuter	eseguire	ejecutar	-	exsequi:
-	exsiccation	essiccazione	-	-	exsicca:tio:nem
-	-	essiccare	ensecar	exsicar	exsicca:re
-	-	sciogliere	-	-	exsolvere
-	-	espettazione	expectación	-	exspecta:tio:nem
expirație	expiration	espirazione	expiración	expiração	exspi:ra:tio:nem
expira	expirer	espirare	expirar	expirar	exspi:ra:re
-	extincteur	-	-	-	exstincto:rem
-	extirpation	estirpazione	extirpación	extirpação	exstirpa:tio:nem
-	extirper	estirpare	extirpar	extirpar	exstirpa:re
usca	essuyer	asciugare	enjugar	enxugar	exsu:ca:re
-	-	esultazione	-	-	exsulta:tio:nem
